tsn, aphia, norsknavn, newtsn, newcm
154618, 410724,,,
156523, 111448,,,
555747, 834051,,,
719327, 594013,,,
72732, 141899,,,
623879, 272728,,,
48488, 134285,,,
773124, 410749,,,
161727, 293569,,,
692156, 309268,,,
155153, 101063,,,
563953, 101063,,,
59490, 799,,,
563956, 799,,,
990707, 124163,,,
999051, 124163,,,
999003, 134314,,,
1078355, 124694,,,
999053, 124694,,,
999054, 124694,,,
999053, 124229,,,
999071, 274422,,,
999072, 274478,,,
999073, 274441,,,
999074, 274479,,,
1079354, 254710,,,
999056, 254710,,,
999009, 134199,,,
999046, 423252,,,
999075, 11676,,,
569243, 1371, "kolonimaneter", 718928, Siphonophorae
563988, 10196, "Holocephalimorpha", 161008, helhoder
999044, 107315, "Cancer opili", 98428, snøkrabbe
999079, 127212, "Langfinnet Snottfisk", 167522, nordlig ringbuk
999079, 127211, "Kortfinnet Snottfisk", 643857, kortfinne ringbuk
705712, 1269, "Echiuroinea", 154972, skjeormer
